strength,date,Unnamed: 2,filename
458.0,2021-12-24,2021-12-19.0,AR_LIST_2021.12.19_00:00:00.txt
360.0,2021-12-24,2021-12-19.5,AR_LIST_2021.12.19_12:00:00.txt
249.0,2021-12-24,2021-12-20.0,AR_LIST_2021.12.20_00:00:00.txt
167.0,2021-12-24,2021-12-20.5,AR_LIST_2021.12.20_12:00:00.txt
56.0,2021-12-24,2021-12-21.0,AR_LIST_2021.12.21_00:00:00.txt
522.0,2022-01-02,2021-12-29.5,AR_LIST_2021.12.29_12:00:00.txt
527.0,2022-01-02,2021-12-30.0,AR_LIST_2021.12.30_00:00:00.txt
481.0,2022-01-08,2021-12-30.0,AR_LIST_2021.12.30_00:00:00.txt
501.0,2022-01-02,2021-12-30.5,AR_LIST_2021.12.30_12:00:00.txt
554.0,2022-01-08,2021-12-30.5,AR_LIST_2021.12.30_12:00:00.txt
362.0,2022-01-02,2021-12-31.0,AR_LIST_2021.12.31_00:00:00.txt
551.0,2022-01-08,2021-12-31.0,AR_LIST_2021.12.31_00:00:00.txt
212.0,2022-01-02,2021-12-31.5,AR_LIST_2021.12.31_12:00:00.txt
523.0,2022-01-08,2021-12-31.5,AR_LIST_2021.12.31_12:00:00.txt
