strength,date,,filename
439,2012-05-24.5,2012-05-19,AR_LIST_2012.05.19_12:00:00.txt
330,2012-05-24.9,2012-05-20,AR_LIST_2012.05.20_00:00:00.txt
336,2012-05-24.4,2012-05-20,AR_LIST_2012.05.20_12:00:00.txt
547,2012-05-31.1,2012-05-20,AR_LIST_2012.05.20_12:00:00.txt
193,2012-05-24.9,2012-05-21,AR_LIST_2012.05.21_00:00:00.txt
913,2012-05-31.6,2012-05-21,AR_LIST_2012.05.21_00:00:00.txt
157,2012-05-24.4,2012-05-21,AR_LIST_2012.05.21_12:00:00.txt
1137,2012-05-31.1,2012-05-21,AR_LIST_2012.05.21_12:00:00.txt
88,2012-05-24.9,2012-05-22,AR_LIST_2012.05.22_00:00:00.txt
1661,2012-05-31.7,2012-05-22,AR_LIST_2012.05.22_00:00:00.txt
29,2012-05-24.4,2012-05-22,AR_LIST_2012.05.22_12:00:00.txt
1970,2012-05-31.2,2012-05-22,AR_LIST_2012.05.22_12:00:00.txt
7,2012-05-24.8,2012-05-23,AR_LIST_2012.05.23_00:00:00.txt
2192,2012-05-31.7,2012-05-23,AR_LIST_2012.05.23_00:00:00.txt
93,2012-05-24.2,2012-05-23,AR_LIST_2012.05.23_12:00:00.txt
2285,2012-05-31.3,2012-05-23,AR_LIST_2012.05.23_12:00:00.txt
73,2012-05-24.7,2012-05-24,AR_LIST_2012.05.24_00:00:00.txt
2231,2012-05-31.8,2012-05-24,AR_LIST_2012.05.24_00:00:00.txt
85,2012-05-24.2,2012-05-24,AR_LIST_2012.05.24_12:00:00.txt
2355,2012-05-31.2,2012-05-24,AR_LIST_2012.05.24_12:00:00.txt
2280,2012-05-31.7,2012-05-25,AR_LIST_2012.05.25_00:00:00.txt
2175,2012-05-31.2,2012-05-25,AR_LIST_2012.05.25_12:00:00.txt
2045,2012-05-31.7,2012-05-26,AR_LIST_2012.05.26_00:00:00.txt
2132,2012-05-31.2,2012-05-26,AR_LIST_2012.05.26_12:00:00.txt
2049,2012-05-31.7,2012-05-27,AR_LIST_2012.05.27_00:00:00.txt
2056,2012-05-31.2,2012-05-27,AR_LIST_2012.05.27_12:00:00.txt
1960,2012-05-31.6,2012-05-28,AR_LIST_2012.05.28_00:00:00.txt
2031,2012-05-31.1,2012-05-28,AR_LIST_2012.05.28_12:00:00.txt
1921,2012-05-31.6,2012-05-29,AR_LIST_2012.05.29_00:00:00.txt
1920,2012-05-31.1,2012-05-29,AR_LIST_2012.05.29_12:00:00.txt
1726,2012-05-31.6,2012-05-30,AR_LIST_2012.05.30_00:00:00.txt
1783,2012-05-31.1,2012-05-30,AR_LIST_2012.05.30_12:00:00.txt
1552,2012-05-31.7,2012-05-31,AR_LIST_2012.05.31_00:00:00.txt
928,2012-05-31.4,2012-05-31,AR_LIST_2012.05.31_12:00:00.txt
342,2012-06-01.2,2012-06-01,AR_LIST_2012.06.01_00:00:00.txt
446,2012-06-21.3,2012-06-13,AR_LIST_2012.06.13_00:00:00.txt
366,2012-06-20.8,2012-06-13,AR_LIST_2012.06.13_12:00:00.txt
342,2012-06-21.3,2012-06-14,AR_LIST_2012.06.14_00:00:00.txt
137,2012-06-21.1,2012-06-14,AR_LIST_2012.06.14_12:00:00.txt
172,2012-06-21.1,2012-06-15,AR_LIST_2012.06.15_00:00:00.txt
129,2012-06-20.6,2012-06-15,AR_LIST_2012.06.15_12:00:00.txt
110,2012-06-21.1,2012-06-16,AR_LIST_2012.06.16_00:00:00.txt
