strength,date,Unnamed: 2,filename
357,2016-05,2016-02-03,AR_LIST_2016.02.03_12:00:00.txt
59,2016-05,2016-02-04,AR_LIST_2016.02.04_00:00:00.txt
468,2016-07,2016-02-06,AR_LIST_2016.02.06_00:00:00.txt
483,2016-06,2016-02-06,AR_LIST_2016.02.06_12:00:00.txt
731,2016-07,2016-02-07,AR_LIST_2016.02.07_00:00:00.txt
1067,2016-06,2016-02-07,AR_LIST_2016.02.07_12:00:00.txt
1352,2016-07,2016-02-08,AR_LIST_2016.02.08_00:00:00.txt
1606,2016-06,2016-02-08,AR_LIST_2016.02.08_12:00:00.txt
1540,2016-07,2016-02-09,AR_LIST_2016.02.09_00:00:00.txt
1438,2016-06,2016-02-09,AR_LIST_2016.02.09_12:00:00.txt
1212,2016-07,2016-02-10,AR_LIST_2016.02.10_00:00:00.txt
960,2016-06,2016-02-10,AR_LIST_2016.02.10_12:00:00.txt
936,2016-07,2016-02-11,AR_LIST_2016.02.11_00:00:00.txt
765,2016-06,2016-02-11,AR_LIST_2016.02.11_12:00:00.txt
745,2016-07,2016-02-12,AR_LIST_2016.02.12_00:00:00.txt
487,2016-07,2016-02-12,AR_LIST_2016.02.12_00:00:00.txt
460,2016-06,2016-02-12,AR_LIST_2016.02.12_12:00:00.txt
1214,2016-07,2016-02-12,AR_LIST_2016.02.12_12:00:00.txt
414,2016-07,2016-02-13,AR_LIST_2016.02.13_00:00:00.txt
1666,2016-07,2016-02-13,AR_LIST_2016.02.13_00:00:00.txt
450,2016-08,2016-02-13,AR_LIST_2016.02.13_00:00:00.txt
165,2016-06,2016-02-13,AR_LIST_2016.02.13_12:00:00.txt
1689,2016-07,2016-02-13,AR_LIST_2016.02.13_12:00:00.txt
455,2016-07,2016-02-13,AR_LIST_2016.02.13_12:00:00.txt
432,2016-08,2016-02-13,AR_LIST_2016.02.13_12:00:00.txt
107,2016-07,2016-02-14,AR_LIST_2016.02.14_00:00:00.txt
2377,2016-07,2016-02-14,AR_LIST_2016.02.14_00:00:00.txt
151,2016-07,2016-02-14,AR_LIST_2016.02.14_00:00:00.txt
535,2016-08,2016-02-14,AR_LIST_2016.02.14_00:00:00.txt
2218,2016-07,2016-02-14,AR_LIST_2016.02.14_12:00:00.txt
106,2016-07,2016-02-14,AR_LIST_2016.02.14_12:00:00.txt
537,2016-08,2016-02-14,AR_LIST_2016.02.14_12:00:00.txt
1738,2016-07,2016-02-15,AR_LIST_2016.02.15_00:00:00.txt
692,2016-08,2016-02-15,AR_LIST_2016.02.15_00:00:00.txt
1424,2016-07,2016-02-15,AR_LIST_2016.02.15_12:00:00.txt
689,2016-08,2016-02-15,AR_LIST_2016.02.15_12:00:00.txt
1009,2016-07,2016-02-16,AR_LIST_2016.02.16_00:00:00.txt
862,2016-08,2016-02-16,AR_LIST_2016.02.16_00:00:00.txt
668,2016-07,2016-02-16,AR_LIST_2016.02.16_12:00:00.txt
944,2016-08,2016-02-16,AR_LIST_2016.02.16_12:00:00.txt
772,2016-07,2016-02-17,AR_LIST_2016.02.17_00:00:00.txt
995,2016-08,2016-02-17,AR_LIST_2016.02.17_00:00:00.txt
495,2016-07,2016-02-17,AR_LIST_2016.02.17_12:00:00.txt
986,2016-08,2016-02-17,AR_LIST_2016.02.17_12:00:00.txt
548,2016-07,2016-02-18,AR_LIST_2016.02.18_00:00:00.txt
785,2016-08,2016-02-18,AR_LIST_2016.02.18_00:00:00.txt
444,2016-08,2016-02-18,AR_LIST_2016.02.18_00:00:00.txt
341,2016-07,2016-02-18,AR_LIST_2016.02.18_12:00:00.txt
775,2016-08,2016-02-18,AR_LIST_2016.02.18_12:00:00.txt
611,2016-08,2016-02-18,AR_LIST_2016.02.18_12:00:00.txt
272,2016-07,2016-02-19,AR_LIST_2016.02.19_00:00:00.txt
598,2016-08,2016-02-19,AR_LIST_2016.02.19_00:00:00.txt
653,2016-08,2016-02-19,AR_LIST_2016.02.19_00:00:00.txt
155,2016-07,2016-02-19,AR_LIST_2016.02.19_12:00:00.txt
515,2016-08,2016-02-19,AR_LIST_2016.02.19_12:00:00.txt
672,2016-08,2016-02-19,AR_LIST_2016.02.19_12:00:00.txt
124,2016-07,2016-02-20,AR_LIST_2016.02.20_00:00:00.txt
365,2016-08,2016-02-20,AR_LIST_2016.02.20_00:00:00.txt
644,2016-08,2016-02-20,AR_LIST_2016.02.20_00:00:00.txt
3,2016-07,2016-02-20,AR_LIST_2016.02.20_12:00:00.txt
196,2016-08,2016-02-20,AR_LIST_2016.02.20_12:00:00.txt
619,2016-08,2016-02-20,AR_LIST_2016.02.20_12:00:00.txt
641,2016-09,2016-02-20,AR_LIST_2016.02.20_12:00:00.txt
120,2016-08,2016-02-21,AR_LIST_2016.02.21_00:00:00.txt
578,2016-08,2016-02-21,AR_LIST_2016.02.21_00:00:00.txt
828,2016-09,2016-02-21,AR_LIST_2016.02.21_00:00:00.txt
52,2016-08,2016-02-21,AR_LIST_2016.02.21_12:00:00.txt
510,2016-08,2016-02-21,AR_LIST_2016.02.21_12:00:00.txt
1143,2016-09,2016-02-21,AR_LIST_2016.02.21_12:00:00.txt
35,2016-08,2016-02-22,AR_LIST_2016.02.22_00:00:00.txt
321,2016-08,2016-02-22,AR_LIST_2016.02.22_00:00:00.txt
1395,2016-09,2016-02-22,AR_LIST_2016.02.22_00:00:00.txt
204,2016-08,2016-02-22,AR_LIST_2016.02.22_12:00:00.txt
1374,2016-09,2016-02-22,AR_LIST_2016.02.22_12:00:00.txt
8,2016-08,2016-02-23,AR_LIST_2016.02.23_00:00:00.txt
2273,2016-09,2016-02-23,AR_LIST_2016.02.23_00:00:00.txt
2403,2016-09,2016-02-23,AR_LIST_2016.02.23_12:00:00.txt
2582,2016-09,2016-02-24,AR_LIST_2016.02.24_00:00:00.txt
2495,2016-09,2016-02-24,AR_LIST_2016.02.24_12:00:00.txt
2788,2016-09,2016-02-25,AR_LIST_2016.02.25_00:00:00.txt
2503,2016-09,2016-02-25,AR_LIST_2016.02.25_12:00:00.txt
2793,2016-09,2016-02-26,AR_LIST_2016.02.26_00:00:00.txt
2398,2016-09,2016-02-26,AR_LIST_2016.02.26_12:00:00.txt
2413,2016-09,2016-02-27,AR_LIST_2016.02.27_00:00:00.txt
2146,2016-09,2016-02-27,AR_LIST_2016.02.27_12:00:00.txt
1989,2016-09,2016-02-28,AR_LIST_2016.02.28_00:00:00.txt
1657,2016-09,2016-02-28,AR_LIST_2016.02.28_12:00:00.txt
1373,2016-09,2016-02-29,AR_LIST_2016.02.29_00:00:00.txt
